ACTIVITY QUARTAL IV - INFRASTRUCTURE ENGINEER									
									
									
									Done
					Onsite				Progress
					Remote				Hold
ACTIVITY QUARTAL - 4	No	CLIENT	SERVICE	CASE & ISSUE	ACTION	DATE	PIC TIM	DETAIL ACTION	STATUS
									
									
	1	POP ZIZZ	Internet	Router Arah LV8 Down		13 Oktober 2025	Wawan, Angga	Update Troubleshoot Link Zizz > LV8 -Link radio sudah normal setelah dilakukan replacement kabel UTP ke Radio, UTP ke Router, dan pergantian PoE 	
	2	POP Penida	Internet	Dismantle POP		10 Oktober 2025	Wawan, Artha	Update Dismantle POP Penida -Material dismantle sudah di titipkan di rumah Joni	
	3	POP Lembongan	Internet	Troubleshoot Link FO		9 Oktober 2025	Wawan, Artha	Update Troubleshoot Link FO Lembongan -Kabel yang sebelumnya putus sudah diganti dengan kabel ADSS 24c dan jalur pipa baru mengikuti jalur pipa Existing	
	4	Nulook Clinic	Internet	Survey		7 Oktober 2025	Wawan	Survey Kebutuhan FO Lastmile Nulook Clinic	
	5	Alila Villa Uluwatu	Internet	Troubleshoot		3 Oktober 2025	artha, wawan, angga, joni, samudra	penarikan FO cut link Alila Uluwatu 5KM dari POP Jimbaran	
				Troubleshoot		20 Oktober 2025	Jody, Wawan, Angga	- Penarikan kabel FO 24 core baru sepanjang 200m - Pasang JB 1 sisi dan sambung ulang tube biru (6 core) kedua sisi di JB	
	6	The Place Retreat	Internet	Maintenance		7 Oktober 2025	Wawan	Update maintenance The Place Retreat  -Perangkat milik varnion dan patchcord di Villa Owner, Villa Sandat, dan Villa Risky sudah dipasang label 	
	7	Omma Day Club	Internet	Dismantle		14 Oktober 2025	Wawan, Angga	Update Dismantle Omma Day Club -Perangkat OTB dan MC milik Vendor sudah di dismantle di sisi client	
	8	Desa Swan Villas	Internet	Dismantle		14 Oktober 2025	Wawan, Angga	Update Dismantle Desa Swan Villas -Perangkat radio di restaurant sudah di lepas dan dititipkan ke PIC bpk Aria -Info terakhir dari logistik perangkat adalah milik Varnion sehingga akan diambil bersama dengan perangkat radio lain yang perlu didismantle setelah masa kontrak di 14 November	
	9	Zumana beach club	Internet	Survey		15 Oktober 2025	Joni	-Done survey jalur kabel fo	
	10	POP Siesta	Internet	Maintenance		15 Oktober 2025	Jody	- Pergantian Patch Panel	
			Internet	Maintenance		16-17 Oktober 2025	Wawan, Pak Suan, Pak Gie	-Maintenance Pergantian Luminous dan 2 Unit Aki 	
			Internet	Troubleshoot		18 Oktober 2025	ArthaK	- FO HSP Down action : penggantian Switch Milik HSP di pop Sista	
			Internet	Maintenance		22 Oktober 2025	Beni	- Replacement Radio Link PTP to Discovery	
	11	POP Amnaya Kuta	Internet	Survey		15 Oktober 2025	Jody	- Survey pemasangan box baru 	
						9 November 2025	Wawan	- Troubleshoot Kelistrikan Amnaya Perangkat UPS rusak sehingga listrik saat ini langsung terhubung ke jaringan PLN	
	12	The Colony Hotel	WAAS	Troubleshoot		11 Oktober 2025	Azlan	Troubleshoot AP room 38: - uplink ap dari switch port 14 rusak  - uplink pindah ke port 12 switch  - ap normal	
			WAAS	Troubleshoot		18 oktober 2025	Samudra	Troubleshoot The Colony 18 Oktober 2025  Kendala : client tidak bisa akses internet via LAN  Action : crimping ulang & memperbaiki kuningan RJ45 switch client yang kendor	
